rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,matched_tier_roles,unmatched_roles_count,tier_breakdown,weapon_breakdown
120,34537161,120,77,24,0.00,303.00,190.00,493.00,4.108,9,4,维里奈:T1@1鸣=56.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,和光回唱:signature->菲比@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
121,34531972,80,70,18,0.00,196.00,130.00,326.00,4.075,6,3,维里奈:T1@1鸣=56.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
122,8107396,80,70,18,0.00,196.00,130.00,326.00,4.075,6,3,维里奈:T1@1鸣=56.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
123,35872022,105,62,17,1.33,324.00,100.00,425.33,4.051,8,3,卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 折枝:T2@0鸣=19.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,裁春:signature->椿@1鸣=30.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
124,35938493,130,53,14,0.24,354.30,170.00,524.54,4.035,7,13,散华:T2@3鸣=27.3 | 卜灵:T2@1鸣=7.0 | 绯雪:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 菲比:T1@0鸣=40.0 | 维里奈:T1@0鸣=40.0,灼霜:signature->绯雪@1鸣=60.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
125,34884901,130,52,18,0.55,387.55,133.00,521.10,4.008,5,12,绯雪:T0@3鸣=216.45 | 维里奈:T1@2鸣=68.0 | 卜灵:T2@2鸣=8.5 | 散华:T2@1鸣=19.6 | 莫宁:T0.5@0鸣=75.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
126,34848699,140,71,23,1.33,467.00,92.00,560.33,4.002,9,3,维里奈:T1@2鸣=68.0 | 椿:T1@1鸣=56.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@2鸣=42.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 漪澜浮录:standard->常驻@1鸣=20.0
127,30206647,160,67,19,0.00,504.10,133.00,637.10,3.982,7,13,散华:T2@4鸣=30.1 | 坎特蕾拉:T1@1鸣=77.0 | 维里奈:T1@1鸣=56.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
128,35213354,140,58,13,0.72,388.45,168.00,557.17,3.980,5,12,爱弥斯:T0@3鸣=216.45 | 卜灵:T2@1鸣=7.0 | 绯雪:T0@0鸣=111.0 | 维里奈:T1@0鸣=40.0 | 散华:T2@0鸣=14.0,血誓盟约:standard->常驻@2鸣=28.0 | 灼霜:signature->绯雪@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 源能机锋:standard->常驻@1鸣=20.0
129,28777538,130,80,25,0.00,366.60,150.00,516.60,3.974,5,4,维里奈:T1@3鸣=78.0 | 守岸人:T0@2鸣=183.6 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0,死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
130,35619888,127,65,15,0.00,330.60,172.00,502.60,3.957,5,4,赞妮:T1@2鸣=68.0 | 卡提希娅:T0.5@1鸣=124.6 | 嘉贝莉娜:T0.5@0鸣=70.0 | 长离:T1@0鸣=28.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@2鸣=28.0 | 千古洑流:signature->今汐@2鸣=14.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0
131,34222350,95,45,13,6.56,299.40,70.00,375.96,3.957,5,13,散华:T2@2鸣=23.8 | 卡提希娅:T0.5@1鸣=124.6 | 维里奈:T1@1鸣=56.0 | 夏空:T1@0鸣=55.0 | 椿:T1@0鸣=40.0,不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0
132,35847332,88,54,16,0.00,305.60,40.00,345.60,3.927,4,11,达妮娅:T0.5@6鸣=204.0 | 卜灵:T2@6鸣=12.0 | 散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0,血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
133,34541240,160,62,21,0.00,426.00,200.00,626.00,3.913,8,3,维里奈:T1@1鸣=56.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 吟霖:T2@0鸣=7.0,不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 和光回唱:signature->菲比@1鸣=30.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
134,34540788,158,59,20,0.00,477.60,140.00,617.60,3.909,5,3,卡提希娅:T0.5@1鸣=124.6 | 琳奈:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
135,34537500,150,79,23,0.00,322.00,260.00,582.00,3.880,7,3,维里奈:T1@1鸣=56.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 忌炎:T2@0鸣=19.0,死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
136,34532026,120,80,27,0.00,303.60,154.00,457.60,3.813,9,3,椿:T1@1鸣=56.0 | 忌炎:T2@1鸣=26.6 | 维里奈:T1@1鸣=56.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 吟霖:T2@0鸣=7.0,苍鳞千嶂:signature->忌炎@2鸣=14.0 | 和光回唱:signature->菲比@1鸣=30.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
137,35947450,50,46,8,2.16,128.20,60.00,190.36,3.807,3,11,散华:T2@5鸣=32.2 | 维里奈:T1@1鸣=56.0 | 椿:T1@0鸣=40.0,裁春:signature->椿@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
138,34424409,118,54,22,1.19,356.90,90.00,448.09,3.797,4,11,卜灵:T2@6鸣=12.0 | 散华:T2@6鸣=33.6 | 西格莉卡:T0@5鸣=255.3 | 维里奈:T1@1鸣=56.0,昭日译注:signature->西格莉卡@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
139,30630667,70,53,8,0.00,212.80,50.00,262.80,3.754,5,9,散华:T2@2鸣=23.8 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
140,35427263,150,55,19,0.42,431.05,123.00,554.47,3.696,5,13,散华:T2@6鸣=33.6 | 绯雪:T0@3鸣=216.45 | 维里奈:T1@2鸣=68.0 | 守岸人:T0@0鸣=108.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 浩境粼光:standard->常驻@1鸣=20.0
141,30306506,150,47,15,0.00,333.60,210.00,543.60,3.624,6,14,卜灵:T2@6鸣=12.0 | 散华:T2@1鸣=19.6 | 弗洛洛:T0.5@0鸣=99.0 | 坎特蕾拉:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 维里奈:T1@0鸣=40.0,万物持存的注释:signature->尤诺@1鸣=50.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
142,34348916,110,37,17,0.24,367.60,30.00,397.84,3.617,8,14,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 仇远:T1@0鸣=55.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 珂莱塔:T1@0鸣=55.0 | 忌炎:T2@0鸣=19.0 | 卜灵:T2@0鸣=5.0,焰光裁定:signature->赞妮@1鸣=30.0
143,5792972,45,47,10,0.00,122.70,40.00,162.70,3.616,4,10,散华:T2@4鸣=30.1 | 忌炎:T2@1鸣=26.6 | 维里奈:T1@1鸣=56.0 | 今汐:T2@0鸣=10.0,时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
144,34531879,70,55,17,0.00,153.00,100.00,253.00,3.614,6,3,菲比:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
145,28777639,120,69,20,0.00,283.60,150.00,433.60,3.613,7,2,赞妮:T1@3鸣=78.0 | 折枝:T2@1鸣=26.6 | 夏空:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 维里奈:T1@0鸣=40.0,焰光裁定:signature->赞妮@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
146,35909455,100,17,6,3.67,356.30,0.00,359.97,3.600,5,11,散华:T2@3鸣=27.3 | 爱弥斯:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 维里奈:T1@0鸣=40.0,
147,30191264,160,76,21,0.00,375.60,200.00,575.60,3.598,10,12,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 弗洛洛:T0.5@0鸣=99.0 | 赞妮:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 赫奕流明:signature->长离@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
148,34222519,105,47,18,0.36,336.30,39.00,375.66,3.578,5,11,散华:T2@3鸣=27.3 | 千咲:T0.5@2鸣=153.0 | 爱弥斯:T0@0鸣=111.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@4鸣=39.0
149,34537280,150,73,22,0.00,330.00,200.00,530.00,3.533,9,2,维里奈:T1@1鸣=56.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
150,34312816,150,54,25,11.11,415.00,103.00,529.11,3.527,6,12,散华:T2@3鸣=27.3 | 绯雪:T0@2鸣=188.7 | 维里奈:T1@1鸣=56.0 | 卜灵:T2@1鸣=7.0 | 守岸人:T0@0鸣=108.0 | 长离:T1@0鸣=28.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0
151,34532132,120,80,24,0.00,273.20,150.00,423.20,3.527,6,2,相里要:T2@2鸣=27.2 | 菲比:T1@1鸣=56.0 | 维里奈:T1@1鸣=56.0 | 守岸人:T0@0鸣=108.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,和光回唱:signature->菲比@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
152,35938765,150,63,13,17.71,327.00,180.00,524.71,3.498,3,11,散华:T2@3鸣=27.3 | 绯雪:T0@2鸣=188.7 | 爱弥斯:T0@0鸣=111.0,灼霜:signature->绯雪@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
153,29268574,120,56,17,0.00,348.60,70.00,418.60,3.488,9,14,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 露帕:T0.5@0鸣=70.0 | 珂莱塔:T1@0鸣=55.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,死与舞:signature->珂莱塔@1鸣=30.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
154,33879141,150,66,19,6.66,409.95,104.00,520.61,3.471,6,12,散华:T2@5鸣=32.2 | 卜灵:T2@3鸣=9.75 | 维里奈:T1@1鸣=56.0 | 爱弥斯:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0,血誓盟约:standard->常驻@3鸣=34.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 千古洑流:signature->今汐@1鸣=10.0
155,34535903,130,70,19,0.00,285.80,160.00,445.80,3.429,6,2,折枝:T2@1鸣=26.6 | 长离:T1@1鸣=39.2 | 维里奈:T1@1鸣=56.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0,裁春:signature->椿@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 停驻之烟:standard->常驻@1鸣=20.0
156,35930811,126,62,18,0.01,331.00,100.00,431.01,3.421,7,4,千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 珂莱塔:T1@0鸣=55.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,昙切:signature->千咲@1鸣=50.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
157,34536000,130,64,18,0.00,247.00,192.00,439.00,3.377,5,3,珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 维里奈:T1@0鸣=40.0,赫奕流明:signature->长离@2鸣=42.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
158,35327470,150,51,10,1.11,375.80,120.00,496.91,3.313,6,10,散华:T2@2鸣=23.8 | 达妮娅:T0.5@0鸣=85.0 | 绯雪:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,灼霜:signature->绯雪@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
159,34532239,60,62,18,0.00,118.80,80.00,198.80,3.313,5,4,吟霖:T2@1鸣=9.8 | 菲比:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,和光回唱:signature->菲比@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
160,35778573,110,47,14,0.02,282.00,80.00,362.02,3.291,4,11,千咲:T0.5@5鸣=207.0 | 维里奈:T1@1鸣=56.0 | 卜灵:T2@0鸣=5.0 | 散华:T2@0鸣=14.0,昙切:signature->千咲@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
161,34536809,140,76,20,0.00,253.00,200.00,453.00,3.236,5,2,赞妮:T1@1鸣=56.0 | 珂莱塔:T1@1鸣=77.0 | 夏空:T1@0鸣=55.0 | 坎特蕾拉:T1@0鸣=55.0 | 今汐:T2@0鸣=10.0,焰光裁定:signature->赞妮@1鸣=30.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
162,31643313,80,43,7,0.23,217.50,40.00,257.73,3.222,3,11,爱弥斯:T0@2鸣=188.7 | 散华:T2@2鸣=23.8 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
163,35268418,130,49,12,21.21,292.65,100.00,413.86,3.184,3,12,绯雪:T0@4鸣=238.65 | 维里奈:T1@0鸣=40.0 | 散华:T2@0鸣=14.0,灼霜:signature->绯雪@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
164,35211574,98,45,8,0.01,230.40,80.00,310.41,3.167,4,11,绯雪:T0@1鸣=155.4 | 维里奈:T1@1鸣=56.0 | 卜灵:T2@0鸣=5.0 | 散华:T2@0鸣=14.0,灼霜:signature->绯雪@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0
165,8107413,80,55,17,0.00,153.00,100.00,253.00,3.163,6,3,菲比:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
166,35475027,150,50,17,13.88,332.35,113.00,459.22,3.061,4,11,绯雪:T0@5鸣=255.3 | 卜灵:T2@3鸣=9.75 | 散华:T2@3鸣=27.3 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 千古洑流:signature->今汐@1鸣=10.0
167,32466872,55,44,7,5.61,131.80,30.00,167.41,3.044,4,13,散华:T2@2鸣=23.8 | 椿:T1@0鸣=40.0 | 长离:T1@0鸣=28.0 | 维里奈:T1@0鸣=40.0,赫奕流明:signature->长离@1鸣=30.0
168,31318912,130,53,19,0.31,304.70,83.00,388.01,2.985,4,12,奥古斯塔:T0.5@5鸣=227.7 | 维里奈:T1@1鸣=56.0 | 卜灵:T2@1鸣=7.0 | 散华:T2@0鸣=14.0,血誓盟约:standard->常驻@5鸣=43.0 | 源能机锋:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0
169,35845660,150,48,13,0.77,366.10,70.00,436.87,2.912,8,13,散华:T2@4鸣=30.1 | 绯雪:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 尤诺:T0.5@0鸣=79.0 | 折枝:T2@0鸣=19.0 | 吟霖:T2@0鸣=7.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,万物持存的注释:signature->尤诺@1鸣=50.0 | 浩境粼光:standard->常驻@1鸣=20.0
170,35012818,160,55,14,6.02,308.65,150.00,464.67,2.904,3,10,爱弥斯:T0@4鸣=238.65 | 维里奈:T1@1鸣=56.0 | 散华:T2@0鸣=14.0,灼霜:signature->绯雪@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
171,29665271,100,63,14,0.00,204.10,80.00,284.10,2.841,4,12,散华:T2@4鸣=30.1 | 赞妮:T1@3鸣=78.0 | 维里奈:T1@1鸣=56.0 | 菲比:T1@0鸣=40.0,焰光裁定:signature->赞妮@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
172,34531864,120,71,20,0.00,195.00,140.00,335.00,2.792,8,2,维里奈:T1@1鸣=56.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
