rank,product_id,price,area_name,level,total_yellow,char5,weapon5,star_voice,fj_waves,zc_waves,hs_waves,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,role_resonance,weapon_resonance,sub_title
107,30191264,160,官服,76,21,11,8,0,0,0,0,0,0.00,1400.00,8.750,6鸣x7 5鸣x1 3鸣x2 1鸣x3 0鸣x9,1鸣x8,联觉等级:76 总黄数:21 星声数量:95 浮金波纹数量:0 铸潮波纹数量:0 唤声涡纹数量:0 五星角色数:11 1鸣卡卡罗，1鸣维里奈，0鸣弗洛洛，0鸣赞妮，0鸣珂莱塔，0鸣相里要，0鸣折枝，0鸣长离，0鸣今汐，0鸣忌炎，0鸣凌阳 6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，5鸣秧秧，3鸣灯灯，3鸣桃祈，1鸣釉瑚 五星武器数:8 1鸣幽冥的忘忧章，1鸣死与舞，1鸣赫奕流明，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣停驻之烟，1鸣漪澜浮录 叱妖诰 卖家说:0+1弗洛洛0+1长离0+1柯莱塔，龙凤队，珂折队，四星基本都满命
108,34837849,70,官服,51,11,5,3,51,0,7,6,13,13.32,608.32,8.690,6鸣x1 5鸣x1 2鸣x2 1鸣x8 0鸣x4,1鸣x3,联觉等级:51 总黄数:11 五星角色数:5 五星武器数:3 1鸣鉴心，1鸣维里奈，1鸣凌阳，0鸣仇远，0鸣守岸人 6鸣散华，5鸣白芷，2鸣秋水，2鸣秧秧，1鸣釉瑚，1鸣桃祈，1鸣渊武，1鸣莫特斐，1鸣炽霞，0鸣灯灯，0鸣丹瑾 1鸣星序协响，1鸣血誓盟约，1鸣千古洑流 卖家说:不玩了便宜卖了
109,35632501,150,官服,74,26,12,5,108,0,0,0,0,0.68,1285.67,8.571,6鸣x6 5鸣x4 4鸣x1 2鸣x1 1鸣x5 0鸣x7,5鸣x1 1鸣x4,联觉等级:74 总黄数:26 五星角色数:12 五星武器数:5 1鸣爱弥斯，1鸣鉴心，1鸣卡卡罗，1鸣安可，1鸣维里奈，0鸣绯雪，0鸣莫宁，0鸣千咲，0鸣尤诺，0鸣弗洛洛，0鸣坎特蕾拉，0鸣守岸人 6鸣釉瑚，6鸣莫特斐，6鸣丹瑾，6鸣散华，6鸣炽霞，6鸣白芷，5鸣桃祈，5鸣渊武，5鸣秋水，5鸣秧秧，4鸣卜灵，2鸣灯灯 5鸣血誓盟约，1鸣永远的启明星，1鸣脉冲协臂，1鸣千古洑流，1鸣漪澜浮录
110,35714532,80,官服,56,10,6,3,110,0,0,9,9,9.69,684.69,8.559,6鸣x3 2鸣x2 1鸣x4 0鸣x8,1鸣x3,联觉等级:56 总黄数:10 五星角色数:6 五星武器数:3 1鸣鉴心，0鸣仇远，0鸣嘉贝莉娜，0鸣弗洛洛，0鸣卡卡罗，0鸣维里奈 6鸣桃祈，6鸣丹瑾，6鸣散华，2鸣渊武，2鸣炽霞，1鸣秋水，1鸣白芷，1鸣秧秧，0鸣灯灯，0鸣釉瑚，0鸣莫特斐 1鸣光影双生，1鸣血誓盟约，1鸣千古洑流 卖家说:可刀
111,35124607,90,官服,31,10,8,2,16,0,0,0,0,0.10,770.10,8.557,4鸣x3 3鸣x1 1鸣x3 0鸣x12,1鸣x2,联觉等级:31 总黄数:10 五星角色数:8 五星武器数:2 0鸣西格莉卡，0鸣卡提希娅，0鸣菲比，0鸣椿，0鸣今汐，0鸣鉴心，0鸣维里奈，0鸣凌阳 4鸣丹瑾，4鸣炽霞，4鸣秧秧，3鸣散华，1鸣釉瑚，1鸣秋水，1鸣白芷，0鸣卜灵，0鸣灯灯，0鸣桃祈，0鸣莫特斐 1鸣血誓盟约，1鸣千古洑流
112,33682748,155,官服,75,28,10,8,338,0,4,0,4,6.11,1326.11,8.556,6鸣x10 2鸣x1 1鸣x4 0鸣x7,5鸣x1 1鸣x7,联觉等级:75 总黄数:28 五星角色数:10 五星武器数:8 2鸣鉴心，1鸣奥古斯塔，1鸣卡卡罗，1鸣维里奈，1鸣凌阳，0鸣爱弥斯，0鸣仇远，0鸣坎特蕾拉，0鸣守岸人，0鸣吟霖 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，0鸣卜灵，0鸣灯灯 5鸣血誓盟约，1鸣驭冕铸雷之权，1鸣海的呢喃，1鸣掣傀之手，1鸣千古洑流，1鸣停驻之烟，1鸣擎渊怒涛，1鸣漪澜浮录 卖家说:还可以
113,35916667,108,官服,52,20,8,4,1131,4,0,5,9,16.07,916.07,8.482,6鸣x2 5鸣x2 4鸣x2 3鸣x2 2鸣x1 1鸣x6 0鸣x5,5鸣x1 1鸣x3,联觉等级:52 总黄数:20 五星角色数:8 五星武器数:4 1鸣绯雪，1鸣安可，1鸣维里奈，1鸣凌阳，0鸣达妮娅，0鸣守岸人，0鸣鉴心，0鸣卡卡罗 6鸣渊武，6鸣白芷，5鸣灯灯，5鸣散华，4鸣秋水，4鸣秧秧，3鸣莫特斐，3鸣丹瑾，2鸣炽霞，1鸣釉瑚，1鸣桃祈，0鸣卜灵 5鸣血誓盟约，1鸣灼霜，1鸣玻色星仪，1鸣千古洑流 卖家说:上班没空肝
114,34536000,130,官服,64,18,8,7,0,0,0,0,0,0.00,1095.00,8.423,2鸣x1 0鸣x7,2鸣x1 1鸣x6,64级/18黄/女主/8个五星角色/7个五星武器/未绑定/安可/长离/珂莱塔/守岸人/相里要/维里奈/鉴心/卡卡罗/赫奕流明/星序协响/诸方玄枢/死与舞/千古洑流/漪澜浮录/停驻之烟/2鸣安可/0鸣长离/0鸣珂莱塔/0鸣守岸人/0鸣相里要/0鸣维里奈/0鸣鉴心/0鸣卡卡罗/2鸣赫奕流明/1鸣星序协响/1鸣诸方玄枢/1鸣死与舞/1鸣千古洑流/1鸣漪澜浮录/1鸣停驻之烟
115,34536735,130,官服,68,18,8,7,0,0,0,0,0,0.00,1095.00,8.423,2鸣x1 1鸣x1 0鸣x6,1鸣x7,68级/18黄/男主/8个五星角色/7个五星武器/未绑定/维里奈/鉴心/今汐/椿/长离/洛可可/赞妮/安可/漪澜浮录/血誓盟约/裁春/赫奕流明/千古洑流/时和岁稔/焰光裁定/2鸣维里奈/1鸣鉴心/0鸣今汐/0鸣椿/0鸣长离/0鸣洛可可/0鸣赞妮/0鸣安可/1鸣漪澜浮录/1鸣血誓盟约/1鸣裁春/1鸣赫奕流明/1鸣千古洑流/1鸣时和岁稔/1鸣焰光裁定
116,35112712,150,官服,80,19,9,8,1279,0,0,13,13,20.99,1260.99,8.407,6鸣x6 5鸣x3 4鸣x2 2鸣x1 1鸣x2 0鸣x7,1鸣x8,联觉等级:80 总黄数:19 五星角色数:9 五星武器数:8 1鸣鉴心，1鸣维里奈，0鸣绯雪，0鸣爱弥斯，0鸣千咲，0鸣弗洛洛，0鸣卡提希娅，0鸣卡卡罗，0鸣凌阳 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣秋水，6鸣炽霞，6鸣白芷，5鸣灯灯，5鸣丹瑾，5鸣秧秧，4鸣卜灵，4鸣散华，2鸣莫特斐 1鸣灼霜，1鸣永远的启明星，1鸣昙切，1鸣不屈命定之冠，1鸣血誓盟约，1鸣千古洑流，1鸣漪澜浮录 卖家说:资源还超多，爱弥斯专武直接十连双金出俩
117,35732068,150,官服,65,21,10,7,136,0,0,0,0,0.85,1255.85,8.372,6鸣x5 5鸣x1 4鸣x2 3鸣x1 2鸣x2 1鸣x3 0鸣x8,1鸣x7,"联觉等级:65 总黄数:21 五星角色数:10 五星武器数:7 2鸣维里奈，1鸣莫宁，1鸣鉴心，0鸣达妮娅，0鸣爱弥斯，0鸣尤诺，0鸣奥古斯塔，0鸣卡卡罗，0鸣安可，0鸣凌阳 6鸣卜灵，6鸣丹瑾，6鸣散华，6鸣炽霞，6鸣秧秧，5鸣白芷，4鸣桃祈，4鸣莫特斐，3鸣秋水，2鸣渊武，1鸣釉瑚，0鸣灯灯 1鸣永远的启明星，1鸣万物持存的注释，1鸣驭冕铸雷之权，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣擎渊怒涛 卖家说:日月配队都带专武
小爱带专和一链莫宁"
118,8107387,150,官服,72,20,10,7,0,0,0,0,0,0.00,1255.00,8.367,2鸣x1 1鸣x1 0鸣x8,1鸣x7,"72级/20黄/男主/10个五星角色/7个五星武器
未绑定,今汐,吟霖,忌炎,维里奈,卡卡罗,鉴心,凌阳,相里要,椿,折枝,掣傀之手,苍鳞千嶂,千古洑流,浩境粼光,裁春,诸方玄枢,琼枝冰绡,2命维里奈,1命卡卡罗,0命今汐,0命吟霖,0命忌炎,0命鉴心,0命凌阳,0命相里要,0命椿,0命折枝,精1掣傀之手,精1苍鳞千嶂,精1千古洑流,精1浩境粼光,精1裁春,精1诸方玄枢,精1琼枝冰绡"
119,34848699,140,官服,71,23,12,3,213,0,0,0,0,1.33,1156.33,8.260,3鸣x1 2鸣x1 1鸣x2 0鸣x8,2鸣x1 1鸣x2,"男/女主: 女主 总黄数: 23 联觉等级: 71 星声数量: 213 拥有五星共鸣者: 忌炎,鉴心,卡卡罗,维里奈,凌阳,吟霖,今汐,椿,赞妮,卡提希娅,奥古斯塔,尤诺 3鸣五星共鸣者: 3鸣凌阳 2鸣五星共鸣者: 2鸣维里奈 1鸣五星共鸣者: 1鸣鉴心,1鸣椿 0鸣五星共鸣者: 0鸣忌炎,0鸣卡卡罗,0鸣吟霖,0鸣今汐,0鸣赞妮,0鸣卡提希娅,0鸣奥古斯塔,0鸣尤诺 拥有五星武器: 漪澜浮录,裁春,焰光裁定 2鸣五星武器: 2鸣裁春 1鸣五星武器: 1鸣漪澜浮录,1鸣焰光裁定 亮点: 【MC173】71级/23黄/女主/12个五星角色/3个五星武器/未绑定/凌阳/维里奈/椿/鉴心/尤诺/奥古斯塔/今汐/吟霖/忌炎/赞妮/卡提希娅/卡卡罗/裁春/焰光裁定/漪澜浮录/3鸣凌阳/2鸣维里奈/1鸣椿/1鸣鉴心/0鸣尤诺/0鸣奥古斯塔/0鸣今汐/0鸣吟霖/0鸣忌炎/0鸣赞妮/0鸣卡提希娅/0鸣卡卡罗/2鸣裁春/1鸣焰光裁定/1鸣漪澜浮录"
120,35619888,127,官服,65,15,9,5,0,0,0,0,0,0.00,1045.00,8.228,2鸣x3 1鸣x1 0鸣x5,2鸣x2 1鸣x3,"65级/15黄/男主/10个五星角色/5个五星武器
Wegame已绑定,赞妮,卡提希娅,嘉贝莉娜,长离,维里奈,卡卡罗,鉴心,安可,凌阳,光影双生,不屈命定之冠,焰光裁定,血誓盟约,千古洑流,2命赞妮,2命鉴心,2命安可,1命卡提希娅,0命嘉贝莉娜,0命长离,0命维里奈,0命卡卡罗,0命凌阳,精2血誓盟约,精2千古洑流,精1光影双生,精1不屈命定之冠,精1焰光裁定"
121,34738585,129,官服,0,18,10,4,0,0,0,0,0,0.00,1060.00,8.217,2鸣x1 1鸣x2 0鸣x7,1鸣x4,官服【18金】【等级60】【五星角色】 2命维里奈 1命吟霖 今汐 长离 忌炎 1命凌阳 卡卡罗 鉴心 折枝 相里要 【五星武器】 掣傀之手 时和岁稔 苍鳞千嶂 擎渊怒涛 鸣潮账号
122,35231183,120,官服,70,25,6,7,1543,0,0,41,41,50.64,985.64,8.214,6鸣x8 4鸣x1 3鸣x2 2鸣x2 1鸣x2 0鸣x3,5鸣x1 1鸣x6,联觉等级:70 总黄数:25 五星角色数:6 五星武器数:7 3鸣鉴心，3鸣维里奈，2鸣绯雪，0鸣琳奈，0鸣守岸人，0鸣凌阳 6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，4鸣卜灵，2鸣桃祈，1鸣灯灯，1鸣釉瑚 5鸣血誓盟约，1鸣灼霜，1鸣溢彩荧辉，1鸣星序协响，1鸣千古洑流，1鸣停驻之烟，1鸣漪澜浮录 卖家说:玩了两个月，不想玩了。
123,34536809,140,官服,76,20,7,9,0,0,0,0,0,0.00,1145.00,8.179,1鸣x3 0鸣x4,1鸣x9,76级/20黄/男主/7个五星角色/10个五星武器/未绑定/赞妮/珂莱塔/卡卡罗/今汐/坎特蕾拉/鉴心/夏空/焰光裁定/死与舞/千古洑流/时和岁稔/血誓盟约/海的呢喃/停驻之烟/浩境粼光/擎渊怒涛/1鸣赞妮/1鸣珂莱塔/1鸣卡卡罗/0鸣今汐/0鸣坎特蕾拉/0鸣鉴心/0鸣夏空/1鸣焰光裁定/1鸣死与舞/1鸣千古洑流/1鸣时和岁稔/1鸣血誓盟约/1鸣海的呢喃/1鸣停驻之烟/1鸣浩境粼光/1鸣擎渊怒涛
124,35017467,100,官服,66,15,6,5,154,0,0,0,0,0.96,805.96,8.060,6鸣x4 5鸣x2 4鸣x1 3鸣x2 2鸣x3 1鸣x1 0鸣x4,1鸣x5,联觉等级:66 总黄数:15 五星角色数:6 五星武器数:5 2鸣菲比，2鸣维里奈，0鸣绯雪，0鸣椿，0鸣折枝，0鸣安可 6鸣渊武，6鸣散华，6鸣炽霞，6鸣秧秧，5鸣灯灯，5鸣秋水，4鸣莫特斐，3鸣桃祈，3鸣白芷，2鸣釉瑚，1鸣丹瑾 1鸣和光回唱，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟
125,35635011,120,官服,59,16,8,5,78,0,0,0,0,0.49,965.49,8.046,6鸣x6 5鸣x3 4鸣x2 2鸣x1 1鸣x1 0鸣x7,1鸣x5,联觉等级:59 总黄数:16 五星角色数:8 五星武器数:5 2鸣珂莱塔，1鸣卡卡罗，0鸣仇远，0鸣嘉贝莉娜，0鸣卡提希娅，0鸣夏空，0鸣折枝，0鸣维里奈 6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣白芷，6鸣秧秧，5鸣灯灯，5鸣莫特斐，5鸣散华，4鸣釉瑚，4鸣炽霞，0鸣卜灵 1鸣光影双生，1鸣不屈命定之冠，1鸣死与舞，1鸣血誓盟约，1鸣千古洑流
126,35774081,110,官服,68,15,6,6,34,0,0,7,7,7.21,877.21,7.975,6鸣x5 5鸣x2 4鸣x1 3鸣x1 2鸣x2 1鸣x3 0鸣x4,1鸣x6,联觉等级:68 总黄数:15 五星角色数:6 五星武器数:6 2鸣绯雪，1鸣维里奈，0鸣尤诺，0鸣弗洛洛，0鸣卡卡罗，0鸣凌阳 6鸣渊武，6鸣秋水，6鸣散华，6鸣白芷，6鸣秧秧，5鸣丹瑾，5鸣炽霞，4鸣卜灵，3鸣釉瑚，2鸣桃祈，1鸣灯灯，1鸣莫特斐 1鸣灼霜，1鸣脉冲协臂，1鸣幽冥的忘忧章，1鸣血誓盟约，1鸣停驻之烟，1鸣漪澜浮录 卖家说:自玩号 不会封
127,34541240,160,官服,62,21,11,6,0,0,0,0,0,0.00,1270.00,7.938,1鸣x3 0鸣x8,1鸣x6,【MC136】62级/21黄/女主/12个五星角色/6个五星武器/未绑定/维里奈/安可/凌阳/卡提希娅/夏空/守岸人/菲比/珂莱塔/吟霖/相里要/西格莉卡/卡卡罗/不屈命定之冠/和光回唱/死与舞/千古洑流/星序协响/血誓盟约/1鸣维里奈/1鸣安可/1鸣凌阳/0鸣卡提希娅/0鸣夏空/0鸣守岸人/0鸣菲比/0鸣珂莱塔/0鸣吟霖/0鸣相里要/0命西格莉卡/0鸣卡卡罗/1鸣不屈命定之冠/1鸣和光回唱/1鸣死与舞/1鸣千古洑流/1鸣星序协响/1鸣血誓盟约
128,34535903,130,官服,70,19,8,6,0,0,0,0,0,0.00,1030.00,7.923,1鸣x5 0鸣x3,1鸣x6,70级/19黄/女主/8个五星角色/6个五星武器/未绑定/长离/安可/折枝/维里奈/卡卡罗/守岸人/椿/相里要/星序协响/琼枝冰绡/诸方玄枢/裁春/赫奕流明/停驻之烟/1鸣长离/1鸣安可/1鸣折枝/1鸣维里奈/1鸣卡卡罗/0鸣守岸人/0鸣椿/0鸣相里要/1鸣星序协响/1鸣琼枝冰绡/1鸣诸方玄枢/1鸣裁春/1鸣赫奕流明/1鸣停驻之烟
129,34348916,110,官服,37,17,10,1,38,0,0,0,0,0.24,865.24,7.866,6鸣x2 5鸣x2 3鸣x3 2鸣x3 1鸣x3 0鸣x9,1鸣x1,联觉等级:37 总黄数:17 2鸣鉴心，1鸣安可，1鸣维里奈，0鸣仇远，0鸣卡提希娅，0鸣夏空，0鸣珂莱塔，0鸣忌炎，0鸣卡卡罗，0鸣凌阳 6鸣散华，6鸣炽霞，5鸣白芷，5鸣秧秧，3鸣釉瑚，3鸣莫特斐，3鸣秋水，2鸣渊武，2鸣丹瑾，1鸣桃祈，0鸣卜灵，0鸣灯灯 1鸣焰光裁定
130,33942214,60,官服,46,16,5,1,1004,0,0,0,0,6.28,471.27,7.855,6鸣x1 4鸣x1 2鸣x3 1鸣x7 0鸣x4,1鸣x1,联觉等级:46 总黄数:16 2鸣卡卡罗，1鸣维里奈，0鸣西格莉卡，0鸣仇远，0鸣鉴心 6鸣秧秧，4鸣卜灵，2鸣釉瑚，2鸣散华，1鸣渊武，1鸣莫特斐，1鸣丹瑾，1鸣秋水，1鸣炽霞，1鸣白芷，0鸣桃祈 1鸣血誓盟约
131,31805513,80,官服,52,16,5,3,4094,2,0,3,5,30.59,625.59,7.820,6鸣x4 5鸣x1 3鸣x2 2鸣x4 1鸣x2 0鸣x4,4鸣x1 1鸣x2,联觉等级:52 总黄数:16 五星角色数:5 五星武器数:3 3鸣菲比，2鸣维里奈，0鸣莫宁，0鸣守岸人，0鸣安可 6鸣桃祈，6鸣渊武，6鸣秋水，6鸣白芷，5鸣炽霞，3鸣莫特斐，2鸣灯灯，2鸣散华，2鸣秧秧，1鸣卜灵，1鸣釉瑚，0鸣丹瑾 4鸣血誓盟约，1鸣玻色星仪，1鸣和光回唱 卖家说:三链菲比 有专武0链莫宁和守岸人 4094星声 2抽限定 已垫17抽
132,35889640,100,官服,57,13,5,5,7665,0,0,5,5,52.91,777.91,7.779,6鸣x1 5鸣x1 4鸣x1 3鸣x2 2鸣x3 1鸣x4 0鸣x5,3鸣x1 1鸣x4,联觉等级:57 总黄数:13 五星角色数:5 五星武器数:5 1鸣卡卡罗，0鸣绯雪，0鸣琳奈，0鸣千咲，0鸣安可 6鸣渊武，5鸣秧秧，4鸣白芷，3鸣秋水，3鸣散华，2鸣桃祈，2鸣丹瑾，2鸣炽霞，1鸣卜灵，1鸣灯灯，1鸣莫特斐，0鸣釉瑚 3鸣血誓盟约，1鸣灼霜，1鸣镭射切变，1鸣昙切，1鸣停驻之烟 卖家说:wegame不能换绑，
133,35338519,115,官服,73,24,7,5,27,0,0,1,1,1.17,886.17,7.706,6鸣x8 5鸣x2 4鸣x2 3鸣x2 1鸣x1 0鸣x4,4鸣x1 1鸣x4,联觉等级:73 总黄数:24 五星角色数:7 五星武器数:5 5鸣弗洛洛，3鸣维里奈，1鸣卡卡罗，0鸣绯雪，0鸣仇远，0鸣鉴心，0鸣凌阳 6鸣灯灯，6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣炽霞，6鸣秧秧，5鸣散华，4鸣莫特斐，4鸣白芷，3鸣卜灵 4鸣血誓盟约，1鸣灼霜，1鸣幽冥的忘忧章，1鸣千古洑流
134,32130064,150,官服,59,20,11,4,903,0,0,3,3,8.64,1148.64,7.658,6鸣x5 5鸣x3 4鸣x1 3鸣x2 2鸣x1 1鸣x2 0鸣x9,1鸣x4,联觉等级:59 总黄数:20 五星角色数:11 五星武器数:4 3鸣维里奈，1鸣鉴心，1鸣卡卡罗，0鸣千咲，0鸣卡提希娅，0鸣赞妮，0鸣坎特蕾拉，0鸣守岸人，0鸣相里要，0鸣今汐，0鸣凌阳 6鸣桃祈，6鸣秋水，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣渊武，5鸣丹瑾，5鸣散华，4鸣灯灯，3鸣釉瑚，2鸣莫特斐，0鸣卜灵 1鸣不屈命定之冠，1鸣星序协响，1鸣血誓盟约，1鸣漪澜浮录
135,35015596,80,官服,43,11,5,3,1165,0,4,4,8,15.28,610.28,7.629,6鸣x1 4鸣x3 3鸣x3 1鸣x4 0鸣x3,2鸣x1 1鸣x2,联觉等级:43 总黄数:11 五星角色数:5 五星武器数:3 1鸣卡提希娅，1鸣维里奈，0鸣莫宁，0鸣安可，0鸣凌阳 6鸣秋水，4鸣灯灯，4鸣散华，4鸣炽霞，3鸣丹瑾，3鸣白芷，3鸣秧秧，1鸣桃祈，1鸣渊武 2鸣血誓盟约，1鸣不屈命定之冠，1鸣千古洑流
136,35960434,100,官服,50,19,7,3,90,0,0,4,4,4.56,759.56,7.596,6鸣x1 3鸣x2 1鸣x3 0鸣x12,1鸣x3,联觉等级:50 总黄数:19 五星角色数:7 五星武器数:3 3鸣弗洛洛，3鸣维里奈，1鸣鉴心，1鸣卡卡罗，1鸣凌阳，0鸣千咲，0鸣守岸人 6鸣秧秧，0鸣卜灵，0鸣灯灯，0鸣釉瑚，0鸣桃祈，0鸣渊武，0鸣丹瑾，0鸣秋水，0鸣散华，0鸣炽霞，0鸣白芷 1鸣幽冥的忘忧章，1鸣星序协响，1鸣血誓盟约
137,34592262,150,官服,66,17,10,5,611,1,0,1,2,5.82,1130.82,7.539,6鸣x5 5鸣x1 4鸣x2 2鸣x3 0鸣x10,1鸣x5,联觉等级:66 总黄数:17 五星角色数:10 五星武器数:5 2鸣卡卡罗，0鸣嘉贝莉娜，0鸣椿，0鸣长离，0鸣今汐，0鸣吟霖，0鸣忌炎，0鸣鉴心，0鸣维里奈，0鸣凌阳 6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣白芷，5鸣秧秧，4鸣莫特斐，4鸣散华，2鸣釉瑚，2鸣炽霞，0鸣灯灯 1鸣掣傀之手，1鸣苍鳞千嶂，1鸣千古洑流，1鸣停驻之烟，1鸣擎渊怒涛
138,35416733,158,官服,61,21,10,6,0,0,0,0,0,0.00,1190.00,7.532,6鸣x7 5鸣x1 4鸣x1 3鸣x1 1鸣x1 0鸣x9,4鸣x1 1鸣x5,"【鸣潮】冒险等级：61，男主，五星数量：17，五星角色:维里奈 * 1命,安可,鉴心,凌阳,坎特蕾拉,露帕,卡提希娅,弗洛洛,千咲,绯雪__五星武器:血誓盟约 * 4精,停驻之烟,浩境粼光,千古洑流,千古洑流,不屈命定之冠,幽冥的忘忧章__四星角色:白芷 * 6命,秧秧 * 6命,渊武 * 6命,炽霞 * 6命,散华 * 6命,丹瑾 * 6命,釉瑚 * 6命,莫特斐 * 5命,秋水 * 4命,桃祈 * 3命 1"
139,34009013,140,官服,79,33,8,6,523,4,0,16,20,23.27,1053.27,7.523,6鸣x7 5鸣x1 4鸣x1 3鸣x3 2鸣x2 1鸣x2 0鸣x3,5鸣x1 1鸣x5,联觉等级:79 总黄数:33 3鸣鉴心，2鸣千咲，2鸣珂莱塔，1鸣卡卡罗，1鸣安可，0鸣莫宁，0鸣卡提希娅，0鸣守岸人 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣炽霞，6鸣白芷，5鸣秧秧，4鸣莫特斐，3鸣灯灯，3鸣散华 5鸣血誓盟约，1鸣镭射切变，1鸣昙切，1鸣不屈命定之冠，1鸣死与舞，1鸣千古洑流 卖家说:手机太差玩不了了
140,34384632,150,官服,57,17,10,5,129,0,0,0,0,0.81,1125.81,7.505,6鸣x2 4鸣x1 3鸣x1 2鸣x1 1鸣x7 0鸣x10,1鸣x5,联觉等级:57 总黄数:17 五星角色数:10 五星武器数:5 1鸣珂莱塔，1鸣维里奈，0鸣绯雪，0鸣莫宁，0鸣仇远，0鸣卡提希娅，0鸣坎特蕾拉，0鸣鉴心，0鸣卡卡罗，0鸣凌阳 6鸣散华，6鸣炽霞，4鸣秧秧，3鸣白芷，2鸣莫特斐，1鸣灯灯，1鸣釉瑚，1鸣桃祈，1鸣渊武，1鸣秋水，0鸣卜灵，0鸣丹瑾 1鸣灼霜，1鸣镭射切变，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟 卖家说:不想玩了，可以议价练度还可以
141,35938765,100,官服,63,13,4,6,561,11,4,22,37,40.51,750.51,7.505,6鸣x2 4鸣x1 3鸣x1 2鸣x3 1鸣x2 0鸣x5,1鸣x6,联觉等级:63 总黄数:13 五星角色数:4 五星武器数:6 2鸣绯雪，1鸣卡卡罗，0鸣爱弥斯，0鸣鉴心 6鸣秋水，6鸣白芷，4鸣渊武，3鸣散华，2鸣灯灯，2鸣桃祈，1鸣炽霞，0鸣釉瑚，0鸣丹瑾，0鸣秧秧 1鸣灼霜，1鸣永远的启明星，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟
142,35938493,130,官服,53,14,8,5,39,0,0,10,10,10.24,975.24,7.502,6鸣x1 5鸣x2 4鸣x2 3鸣x2 2鸣x2 1鸣x4 0鸣x7,1鸣x5,联觉等级:53 总黄数:14 五星角色数:8 五星武器数:5 1鸣卡卡罗，0鸣绯雪，0鸣卡提希娅，0鸣赞妮，0鸣菲比，0鸣鉴心，0鸣维里奈，0鸣凌阳 6鸣白芷，5鸣桃祈，5鸣秋水，4鸣釉瑚，4鸣渊武，3鸣散华，3鸣炽霞，2鸣丹瑾，2鸣秧秧，1鸣卜灵，1鸣灯灯，1鸣莫特斐 1鸣灼霜，1鸣不屈命定之冠，1鸣血誓盟约，1鸣擎渊怒涛，1鸣漪澜浮录 卖家说:资源多，可换
143,34917108,130,官服,58,17,8,5,167,7,1,1,9,10.04,975.04,7.500,6鸣x4 5鸣x1 4鸣x3 3鸣x2 2鸣x1 1鸣x2 0鸣x6,1鸣x5,联觉等级:58 总黄数:17 五星角色数:8 五星武器数:5 3鸣维里奈，1鸣椿，0鸣绯雪，0鸣卡提希娅，0鸣赞妮，0鸣洛可可，0鸣今汐，0鸣凌阳 6鸣渊武，6鸣散华，6鸣白芷，6鸣秧秧，5鸣丹瑾，4鸣桃祈，4鸣莫特斐，4鸣秋水，3鸣炽霞，2鸣釉瑚，1鸣灯灯 1鸣灼霜，1鸣时和岁稔，1鸣血誓盟约，1鸣千古洑流，1鸣擎渊怒涛
144,34807219,110,官服,55,14,6,5,599,2,7,2,11,14.74,819.74,7.452,6鸣x1 4鸣x3 3鸣x1 2鸣x5 1鸣x1 0鸣x7,3鸣x1 1鸣x4,联觉等级:55 总黄数:14 五星角色数:6 五星武器数:5 1鸣鉴心，0鸣西格莉卡，0鸣嘉贝莉娜，0鸣守岸人，0鸣卡卡罗，0鸣凌阳 6鸣散华，4鸣灯灯，4鸣渊武，4鸣秧秧，3鸣釉瑚，2鸣桃祈，2鸣莫特斐，2鸣丹瑾，2鸣炽霞，2鸣白芷，0鸣卜灵，0鸣秋水 3鸣血誓盟约，1鸣昭日译注，1鸣镭射切变，1鸣光影双生，1鸣星序协响
145,35391598,80,官服,49,11,5,3,137,0,0,0,0,0.86,595.86,7.448,6鸣x1 5鸣x1 2鸣x4 1鸣x2 0鸣x6,3鸣x1 1鸣x2,联觉等级:49 总黄数:11 五星角色数:5 五星武器数:3 1鸣维里奈，0鸣达妮娅，0鸣西格莉卡，0鸣卡卡罗，0鸣凌阳 6鸣散华，5鸣秧秧，2鸣卜灵，2鸣桃祈，2鸣炽霞，2鸣白芷，1鸣莫特斐，0鸣渊武，0鸣秋水 3鸣血誓盟约，1鸣昭日译注，1鸣千古洑流 卖家说:地图资源丰富
